0,0,0,0:00,公司,望京科技园南门,116.478613,40.017335,final.jpg,TRUE,
1A,5,1,7:20,红连南路,小桥桥头东,116.340632,39.883042,1A01.jpg,TRUE,
1A,10,2,7:22,马连道,马连道路口北，依连轩门口,116.333132,39.890218,1A02.jpg,TRUE,
1A,15,3,7:25,首航超市,超市斜对面，电力医院门前,116.323445,39.891561,1A03.jpg,TRUE,
1A,20,4,7:35,六里桥北里,辅路班车站牌下,116.310321,39.888772,1A04.jpg,TRUE,
1A,25,5,7:40,八一湖,辅路桥上,116.316748,39.920868,1A05.jpg,TRUE,
1A,30,6,7:45,航天桥,辅路世纪经贸大厦门前,116.317196,39.935509,1A06.jpg,TRUE,
1A,35,7,7:50,花园桥,辅路路口往北100米,116.31691,39.940128,1A07.jpg,TRUE,
1A,40,8,7:53,紫竹桥,辅路桥下,116.316942,39.943959,1A08.jpg,TRUE,
1A,45,9,7:55,万寿寺,辅路公交站附近,116.316572,39.954606,1A09.jpg,TRUE,
1B,5,1,7:50,计算机所,北四环中关村计算机所大楼东门口,116.331069,39.987356,1B01.jpg,TRUE,
1B,10,2,7:53,康拓宾馆,康拓宾馆门口,116.336631,39.986409,1B02.jpg,TRUE,
1B,15,3,7:57,北航,北航北门门口,116.351027,39.991967,1B03.jpg,TRUE,
1B,20,4,8:02,志新桥,	志新桥西公交车站,116.370566,39.992989,1B04.jpg,TRUE,
1B,25,5,8:04,健翔桥,健翔桥西,116.3795,39.993431,1B05.jpg,TRUE,
1B,30,6,8:07,苇子坑,苇子坑公交站,116.38269,39.991488,1B06.jpg,TRUE,
1B,35,7,8:09,南沙滩,南沙滩公交站,116.38393,40.007683,1B07.jpg,TRUE,
2,5,1,7:35,双安商场,双安商场西桥下,116.330989,39.972644,201.jpg,TRUE,
2,10,2,7:40,双秀公园,双秀公园北门班车站,116.381029,39.973769,202.jpg,TRUE,
2,15,3,7:45,马甸桥东,马甸桥东辅路红黄色TAXL标志处,116.390403,39.974435,203.jpg,TRUE,
2,20,4,7:50,木偶剧院,木偶剧院过街天桥下,116.406823,39.97435,204.jpg,TRUE,
2,25,5,7:53,和平西街,和平西街班车站,116.423455,39.974875,205.jpg,TRUE,
2,30,6,7:55,静安庄,静安庄东北侧过街天桥,116.452903,39.969036,206.jpg,TRUE,
